participant,type,score,memory_score,image_memory_order,food_order,quality,attract,mood,image_id
27,cake,15,low,3,2,低质量,无吸引力,非常正面,4
27,sandwich,27,high,1,1,中质量,有吸引力,非常正面,5
27,sandwich,11,low,1,2,中质量,无吸引力,非常正面,6
27,donut,30,high,4,2,中质量,有吸引力,非常正面,7
27,donut,15,low,4,1,中质量,无吸引力,非常正面,8
28,wine,12,high,1,2,中质量,有吸引力,正面,1
28,wine,10,low,1,1,中质量,无吸引力,正面,2
28,cake,16,high,3,1,中质量,有吸引力,正面,3
28,cake,15,low,3,2,低质量,无吸引力,正面,4
28,sandwich,25,high,2,2,高质量,有吸引力,正面,5
28,sandwich,16,low,2,1,低质量,无吸引力,正面,6
28,donut,18,high,4,2,中质量,无吸引力,正面,7
28,donut,16,low,4,1,中质量,有吸引力,正面,8
29,wine,20,high,2,2,高质量,有吸引力,非常正面,1
29,wine,15,low,2,1,中质量,无吸引力,非常正面,2
29,cake,22,high,4,2,高质量,有吸引力,非常正面,3
29,cake,11,low,4,1,中质量,无吸引力,非常正面,4
29,sandwich,30,high,1,1,高质量,有吸引力,非常正面,5
29,sandwich,12,low,1,2,中质量,无吸引力,非常正面,6
29,donut,33,high,3,2,高质量,有吸引力,非常正面,7
29,donut,13,low,3,1,低质量,无吸引力,非常正面,8
30,wine,12,high,3,1,中质量,无吸引力,正面,1
30,wine,15,low,3,2,中质量,有吸引力,正面,2
30,cake,26,high,2,1,中质量,有吸引力,正面,3
30,cake,13,low,2,2,低质量,无吸引力,正面,4
30,sandwich,30,high,1,2,高质量,有吸引力,正面,5
30,sandwich,32,low,1,1,中质量,无吸引力,正面,6
30,donut,18,high,4,2,低质量,无区别,正面,7
30,donut,25,low,4,1,中质量,无区别,正面,8
31,wine,15,high,1,1,中质量,无吸引力,非常正面,1
31,wine,10,low,1,2,低质量,有吸引力,非常正面,2
31,cake,20,high,4,2,中质量,有吸引力,非常正面,3
31,cake,10,low,4,1,高质量,无吸引力,非常正面,4
31,sandwich,30,high,3,1,中质量,有吸引力,非常正面,5
31,sandwich,10,low,3,2,低质量,无吸引力,非常正面,6
31,donut,20,high,2,1,中质量,有吸引力,非常正面,7
31,donut,15,low,2,2,低质量,无吸引力,非常正面,8
32,wine,12,high,4,1,中质量,无吸引力,非常正面,1
32,wine,15,low,4,2,中质量,有吸引力,非常正面,2
32,cake,12,high,1,1,中质量,无吸引力,非常正面,3
32,cake,16,low,1,2,高质量,有吸引力,非常正面,4
32,sandwich,18,high,2,2,高质量,有吸引力,非常正面,5
32,sandwich,12,low,2,1,低质量,无吸引力,非常正面,6
32,donut,16,high,3,1,低质量,有吸引力,非常正面,7
32,donut,11,low,3,2,低质量,无吸引力,非常正面,8
